iter	Passed	Remaining
0	150	150779
1	152	76218
2	154	51224
3	155	38635
4	156	31107
5	157	26082
6	158	22478
7	159	19808
8	160	17705
9	161	16021
10	162	14651
11	164	13523
12	165	12556
13	166	11752
14	168	11042
15	169	10415
16	170	9863
17	171	9381
18	173	8946
19	174	8551
20	175	8197
21	177	7869
22	178	7566
23	179	7318
24	181	7068
25	182	6834
26	183	6614
27	184	6416
28	186	6231
29	187	6060
30	188	5898
31	189	5745
32	191	5600
33	192	5465
34	194	5362
35	196	5250
36	197	5137
37	198	5037
38	200	4937
39	201	4844
40	203	4759
41	204	4670
42	205	4583
43	208	4519
44	209	4452
45	211	4383
46	213	4325
47	214	4258
48	215	4191
49	217	4126
50	218	4062
51	219	4001
52	220	3946
53	222	3901
54	224	3859
55	226	3813
56	227	3767
57	229	3720
58	230	3673
59	231	3627
60	232	3583
61	234	3541
62	235	3502
63	237	3467
64	238	3433
65	240	3407
66	242	3374
67	243	3338
68	244	3295
69	245	3263
70	246	3230
71	248	3199
72	249	3169
73	250	3138
74	252	3116
75	254	3093
76	255	3067
77	257	3041
78	258	3014
79	259	2986
80	260	2959
81	261	2932
82	263	2910
83	264	2885
84	265	2861
85	267	2843
86	269	2826
87	270	2806
88	272	2787
89	273	2766
90	274	2746
91	276	2730
92	278	2711
93	279	2692
94	280	2673
95	282	2658
96	284	2644
97	285	2627
98	286	2611
99	288	2594
100	289	2577
101	290	2560
102	291	2542
103	293	2525
104	294	2509
105	295	2492
106	297	2479
107	298	2467
108	300	2453
109	301	2438
110	302	2425
111	304	2412
112	305	2399
113	307	2387
114	308	2373
115	310	2363
116	312	2359
117	314	2351
118	316	2341
119	318	2334
120	319	2324
121	321	2316
122	323	2309
123	326	2306
124	328	2300
125	331	2299
126	333	2292
127	335	2284
128	337	2275
129	338	2267
130	341	2263
131	343	2256
132	346	2255
133	348	2255
134	350	2247
135	352	2240
136	354	2231
137	357	2232
138	359	2225
139	361	2219
140	363	2211
141	364	2203
142	366	2197
143	369	2193
144	371	2190
145	374	2188
146	376	2184
147	379	2182
148	381	2180
149	384	2176
150	386	2175
151	390	2175
152	392	2174
153	395	2170
154	397	2164
155	401	2170
156	403	2168
157	406	2167
158	409	2165
159	411	2161
160	414	2158
161	417	2158
162	419	2153
163	421	2147
164	423	2143
165	426	2141
166	429	2141
167	431	2139
168	434	2135
169	437	2134
170	439	2130
171	441	2124
172	443	2118
173	445	2114
174	447	2110
175	449	2105
176	451	2100
177	453	2095
178	455	2091
179	458	2090
180	461	2090
181	464	2086
182	466	2083
183	469	2081
184	471	2078
185	475	2080
186	476	2072
187	480	2075
188	483	2076
189	486	2075
190	489	2074
191	492	2074
192	495	2073
